number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,user_attrs_mape,user_attrs_mda,state,mda,mape,best_iteration
81,0.05555555555555558,10:26.8,10:30.7,0 days 00:00:03.880042,0.5073641383906237,0.0417602925392481,5,55,872,42,4.079215195388786,0.0011367602844095446,0.9939990742806741,272,0.002233057505383971,0.9444444444444444,COMPLETE,0.9444444444444444,0.002233057505383971,272
82,0.05555555555555558,10:30.7,10:35.2,0 days 00:00:04.467174,0.5255848117163125,0.05142949612897497,4,43,1052,17,1.5099030157051796,0.00019952647826311626,0.9641971849817845,475,0.002260977619326207,0.9444444444444444,COMPLETE,0.9444444444444444,0.002260977619326207,475
83,0.07777777777777772,10:35.2,10:37.4,0 days 00:00:02.225393,0.5477685559872286,0.11164008835004485,5,40,209,31,7.068926181377202,0.002417820413809127,0.9311727835845474,117,0.0035687542716706534,0.9222222222222223,COMPLETE,0.9222222222222223,0.0035687542716706534,117
84,0.11111111111111116,10:37.4,10:48.9,0 days 00:00:11.516027,0.7768881542612273,0.02966584860198666,6,33,1003,147,3.069614499220958,0.013862184034201985,0.9404449121222027,613,0.002449585401709782,0.8888888888888888,COMPLETE,0.8888888888888888,0.002449585401709782,613
85,0.0888888888888889,10:48.9,10:53.3,0 days 00:00:04.404536,0.5747605927080978,0.05928157917482598,7,47,1206,77,2.2089911293369814e-08,2.095418551714266,0.8209103637425192,245,0.0028511158905288056,0.9111111111111111,COMPLETE,0.9111111111111111,0.0028511158905288056,245
86,0.011111111111111072,10:53.3,10:57.1,0 days 00:00:03.799995,0.5615106902054011,0.04324630235001179,7,87,1077,100,1.6527622252518726,0.000539928100775158,0.7869427835213865,215,0.0025641298224625265,0.9888888888888889,COMPLETE,0.9888888888888889,0.0025641298224625265,215
87,0.033333333333333326,10:57.1,10:59.2,0 days 00:00:02.101203,0.5555613063564678,0.09655276545133976,7,86,1090,101,0.0030341547786270663,0.00047510140048365586,0.78293027391024,90,0.0023778608412865494,0.9666666666666667,COMPLETE,0.9666666666666667,0.0023778608412865494,90
88,0.0444444444444444,10:59.2,11:04.1,0 days 00:00:04.893364,0.6146403472184846,0.02768499108478006,8,98,1507,120,0.36936402706005966,0.10032511966994401,0.5423477457692909,274,0.0027661680321761388,0.9555555555555556,COMPLETE,0.9555555555555556,0.0027661680321761388,274
89,0.05555555555555558,11:04.1,11:06.7,0 days 00:00:02.582485,0.6035137553023558,0.0826202754980448,13,83,1466,93,1.0255416551973089,9.724679973586888,0.769095269975513,89,0.001964264146413731,0.9444444444444444,COMPLETE,0.9444444444444444,0.001964264146413731,89
90,0.15555555555555556,11:06.7,11:15.7,0 days 00:00:08.964292,0.5652365038383778,0.0434158559938682,8,11,918,86,0.1869470607546468,1.8370411766360015e-06,0.7930610411682928,119,0.0032268688836055597,0.8444444444444444,COMPLETE,0.8444444444444444,0.0032268688836055597,119
91,0.07777777777777772,11:15.7,11:18.2,0 days 00:00:02.550006,0.5135312851602436,0.04863767555087192,7,88,833,58,1.7828074645066465,0.003835262988910387,0.9838140893594329,112,0.0028488257731838075,0.9222222222222223,COMPLETE,0.9222222222222223,0.0028488257731838075,112
92,0.022222222222222254,11:18.2,11:21.7,0 days 00:00:03.422944,0.5888985656659621,0.05323275419364869,4,21,1118,112,0.6721811671701516,4.7226755965682026e-05,0.7615660024102348,277,0.0017378136223981217,0.9777777777777777,COMPLETE,0.9777777777777777,0.0017378136223981217,277
93,0.011111111111111072,11:21.7,11:24.5,0 days 00:00:02.817880,0.6256711917031395,0.05438510293170629,4,20,1190,114,0.6500927070578151,5.0507368017103944e-06,0.7394521655839935,199,0.0017486554946102362,0.9888888888888889,COMPLETE,0.9888888888888889,0.0017486554946102362,199
94,0.022222222222222254,11:24.5,11:28.9,0 days 00:00:04.416027,0.5927252063294485,0.03715329759309425,3,21,1071,109,0.06662479708076756,3.4807095442288256e-05,0.7198783999694571,602,0.0015327047698436762,0.9777777777777777,COMPLETE,0.9777777777777777,0.0015327047698436762,602
