列ID,列名,分组,是否核心因子,有效样本数,均值
ID01207884,铁矿石：进口：247家钢铁企业：厂内库存：华中地区：明细（周度）,标的(Y变量),否,2298,388.505022
ID01207887,铁矿石：进口：247家钢铁企业：厂内库存：华东地区：明细（周度）,标的(Y变量),否,2303,1421.680135
ID01207893,铁矿石：进口：247家钢铁企业：厂内库存消费比：明细（周度）,标的(Y变量),否,2300,13.154287
ID01207897,铁矿石：进口：247家钢铁企业：厂内库存：明细（周度）,标的(Y变量),否,2302,3767.978445
ID01208019,铁矿石：进口：247家钢铁企业：发货地：厂内库存：明细（周度）,标的(Y变量),否,2302,3768.014835
ID01208022,铁矿石：进口：247家钢铁企业：发货地：库存：明细（周度）,标的(Y变量),否,2301,9978.704820
ID01208023,铁矿石：进口：247家钢铁企业：发货地：库存消费比：明细（周度）,标的(Y变量),否,2296,34.416381
ID01208151,铁矿石：进口：247家钢铁企业：库存：华北地区发货地：明细（周度）,标的(Y变量),否,2301,2229.906849
ID01208152,铁矿石：进口：247家钢铁企业：厂内库存：华北地区发货地：明细（周度）,标的(Y变量),否,2303,846.987395
ID01208155,铁矿石：进口：247家钢铁企业：厂内库存：华东地区发货地：明细（周度）,标的(Y变量),否,2300,852.963087
ID01208156,铁矿石：进口：247家钢铁企业：库存：华东地区发货地：明细（周度）,标的(Y变量),否,2300,2243.843026
ID01208158,铁矿石：进口：247家钢铁企业：厂内库存：长江沿江地区发货地：明细（周度）,标的(Y变量),否,2297,1320.514541
