列ID,列名,类型
ID01205398_lag_30,CSN粗粉：到港量：45个港口：巴西国家黑色冶金（巴西国家钢铁公司）：明细（周度_lag30,factor
ID01205398_diff_7,CSN粗粉：到港量：45个港口：巴西国家黑色冶金（巴西国家钢铁公司）：明细（周度_diff_7,factor
ID00186112_lag_1,铁矿石：进口：日均疏港量：江阴港（周度）_lag1,factor
ID00186112_lag_2,铁矿石：进口：日均疏港量：江阴港（周度）_lag2,factor
ID00186112_lag_7,铁矿石：进口：日均疏港量：江阴港（周度）_lag7,factor
ID00186112_lag_30,铁矿石：进口：日均疏港量：江阴港（周度）_lag30,factor
ID00186112_diff_1,铁矿石：进口：日均疏港量：江阴港（周度）_diff_1,factor
ID00186112_pct_1,铁矿石：进口：日均疏港量：江阴港（周度）_pct_1,factor
ID01204813_lag_2,铁矿石：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_lag2,factor
ID01204813_lag_14,铁矿石：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_lag14,factor
ID01204813_diff_1,铁矿石：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_diff_1,factor
ID01204813_diff_7,铁矿石：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_diff_7,factor
ID01204813_pct_1,铁矿石：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_pct_1,factor
ID01203829_diff_1,铁矿石：到港量：巴西联邦共和国：45个港口：明细（周度）_diff_1,factor
ID01203829_diff_7,铁矿石：到港量：巴西联邦共和国：45个港口：明细（周度）_diff_7,factor
ID01203829_pct_1,铁矿石：到港量：巴西联邦共和国：45个港口：明细（周度）_pct_1,factor
ID02017530_lag_14,铁矿石：进口：日均疏港量：华南地区：41个港口（周度）_lag14,factor
ID02017530_lag_30,铁矿石：进口：日均疏港量：华南地区：41个港口（周度）_lag30,factor
ID02017530_diff_1,铁矿石：进口：日均疏港量：华南地区：41个港口（周度）_diff_1,factor
ID02017530_diff_7,铁矿石：进口：日均疏港量：华南地区：41个港口（周度）_diff_7,factor
ID00187000_lag_1,铁矿石：销售数量：中华人民共和国：巴西淡水河谷公司（季度）_lag1,factor
ID01205055_lag_2,FMG混合粉：到港量：曹妃甸港：福蒂斯丘金属集团：明细（周度）_lag2,factor
ID01205055_lag_7,FMG混合粉：到港量：曹妃甸港：福蒂斯丘金属集团：明细（周度）_lag7,factor
ID01205055_diff_1,FMG混合粉：到港量：曹妃甸港：福蒂斯丘金属集团：明细（周度）_diff_1,factor
ID01205055_pct_1,FMG混合粉：到港量：曹妃甸港：福蒂斯丘金属集团：明细（周度）_pct_1,factor
ID02017594_lag_1,铁矿石：进口：日均疏港量：东北地区：31个港口（周度）_lag1,factor
ID02017594_lag_7,铁矿石：进口：日均疏港量：东北地区：31个港口（周度）_lag7,factor
ID02017594_lag_14,铁矿石：进口：日均疏港量：东北地区：31个港口（周度）_lag14,factor
ID02017594_lag_30,铁矿石：进口：日均疏港量：东北地区：31个港口（周度）_lag30,factor
ID02017594_diff_1,铁矿石：进口：日均疏港量：东北地区：31个港口（周度）_diff_1,factor
ID02017594_diff_7,铁矿石：进口：日均疏港量：东北地区：31个港口（周度）_diff_7,factor
ID02017594_pct_1,铁矿石：进口：日均疏港量：东北地区：31个港口（周度）_pct_1,factor
ID01205017_lag_2,金布巴粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_lag2,factor
ID01205017_diff_1,金布巴粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_diff_1,factor
ID00187017_diff_7,巴西淡水河谷公司：销售数量：铁矿石（除原矿）（季度）_diff_7,factor
ID01204797_lag_3,金布巴粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_lag3,factor
ID01204797_lag_7,金布巴粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_lag7,factor
ID01204797_diff_1,金布巴粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_diff_1,factor
ID01205064_lag_1,铁矿石：到港量：曹妃甸港：巴西淡水河谷公司：明细（周度）_lag1,factor
ID01205064_lag_14,铁矿石：到港量：曹妃甸港：巴西淡水河谷公司：明细（周度）_lag14,factor
